"tconst","releaseYear","genres","averageRating","numVotes","directors","writers","outcome"
"tt0070328",1973,"Action,Adventure,Thriller",6.7,105153,"nm0357891","nm0542539,nm0001220","unpopular"
"tt0087182",1984,"Action,Adventure,Sci-Fi",6.3,158614,"nm0000186","nm0378541,nm0000186","unpopular"
"tt0758752",2010,"Comedy,Drama,Romance",6.7,198331,"nm0001880","nm1017488,nm0001880,nm0380980,nm2168221","unpopular"
"tt0082406",1981,"Adventure,Animation,Drama",7.3,91087,"nm0075859,nm0723704,nm0828245,nm0359457,nm0718627","nm0543438,nm0166307,nm0075859,nm0585150,nm0949954,nm0560329,nm0401362,nm0470928,nm0314788","unpopular"
"tt2042568",2013,"Comedy,Drama,Music",7.4,150666,"nm0001054,nm0001053","nm0001054,nm0001053","unpopular"
"tt0454921",2006,"Biography,Drama",8,491761,"nm0610831","nm0175726","popular"
"tt0119396",1997,"Crime,Drama,Thriller",7.5,339867,"nm0000233","nm0000233,nm0001465","unpopular"
"tt0443272",2012,"Biography,Drama,History",7.3,257025,"nm0000229","nm1065785,nm0329447","popular"
"tt0272020",2001,"Action,Drama,Thriller",6.9,78009,"nm0527109","nm0769227,nm0003662","unpopular"
"tt1267297",2014,"Action,Adventure,Fantasy",6,153874,"nm0711840","nm2952284,nm0818746,nm5610426","unpopular"
"tt0096933",1989,"Action,Crime,Thriller",6.6,53808,"nm0000631","nm0093271,nm0507863","unpopular"
"tt0120663",1999,"Drama,Mystery,Thriller",7.5,328160,"nm0000040","nm0000040,nm0710698,nm0774217","unpopular"
"tt0099422",1990,"Action,Comedy,Crime",6.2,60911,"nm0000886","nm0332333,nm0143596,nm0258390","popular"
"tt0120912",2002,"Action,Adventure,Comedy",6.1,365201,"nm0001756","nm0192384,nm0330565,nm0266673","popular"
"tt0465580",2009,"Action,Sci-Fi,Thriller",6.1,109896,"nm0006476","nm0100027","unpopular"
"tt0436697",2006,"Biography,Drama",7.3,109170,"nm0001241","nm0604948","unpopular"
"tt0120201",1997,"Action,Adventure,Sci-Fi",7.3,287319,"nm0000682","nm0627159,nm0374423","unpopular"
"tt0215750",2001,"Action,Drama,War",7.6,257353,"nm0000269","nm0000269,nm0323708","unpopular"
"tt3513548",2019,"Biography,Crime,Drama",7.5,82388,"nm0000142","nm0712753,nm0107493,nm7471755,nm11296384","unpopular"
"tt0116908",1996,"Action,Crime,Drama",6.8,78745,"nm0001317","nm0000948","unpopular"
"tt0088128",1984,"Comedy,Romance",7,113398,"nm0000455","nm0000455","unpopular"
"tt0120669",1998,"Adventure,Comedy,Drama",7.5,274682,"nm0000416","nm0860219,nm0000416,nm0342617,nm0204000,nm0007182","unpopular"
"tt5362988",2017,"Crime,Drama,Mystery",7.7,240670,"nm0792263","nm0792263","unpopular"
